G1Q00004,rango_etario,G1Q00008,region,postulacion_final,conteo
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,21 a 30 años,Tucumán,NOA,A REVISAR,1
Otro,41 a 50 años,Salta,NOA,A REVISAR,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,Otro país,Otro país,A REVISAR,1
Varón,51 a 60 años,Córdoba,CENTRO,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Varón,41 a 50 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Corrientes,NEA,A REVISAR,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,San Juan,CUYO,A REVISAR,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
